"onetoken" "Freq" "do.call..rbind...strsplit.as.character..onetoken.onetoken...."
"25279" "question" 105 "question"
"25671" "ready" 105 "ready"
"29678" "special" 105 "special"
"2836" "behind" 104 "behind"
"12127" "forward" 104 "forward"
"27204" "running" 104 "running"
"31162" "system" 104 "system"
"31894" "third" 104 "third"
"5858" "close" 103 "close"
"13866" "half" 103 "half"
"21316" "news" 103 "news"
"28012" "seems" 103 "seems"
"28578" "short" 103 "short"
"14705" "history" 102 "history"
"19732" "members" 102 "members"
"31841" "theyre" 102 "theyre"
"34771" "whether" 102 "whether"
"23073" "party" 101 "party"
"25877" "red" 101 "red"
"26836" "road" 101 "road"
"28219" "series" 101 "series"
"30783" "sunday" 101 "sunday"
"11322" "federal" 100 "federal"
"14312" "hear" 100 "hear"
"27522" "saturday" 100 "saturday"
"32048" "thursday" 100 "thursday"
"7072" "couple" 99 "couple"
"17282" "knew" 99 "knew"
"17658" "large" 99 "large"
"20119" "mind" 99 "mind"
"35193" "word" 99 "word"
"35201" "words" 99 "words"
"2127" "available" 98 "available"
"5588" "church" 98 "church"
"6261" "community" 98 "community"
"6833" "cool" 98 "cool"
"30119" "states" 98 "states"
"30533" "students" 98 "students"
"34469" "watching" 98 "watching"
"3988" "bring" 97 "bring"
"11542" "finally" 97 "finally"
"15824" "information" 97 "information"
"1035" "amazing" 96 "amazing"
"12392" "front" 96 "front"
"13165" "goes" 96 "goes"
"15999" "instead" 96 "instead"
"19591" "means" 96 "means"
"20614" "mother" 96 "mother"
"23003" "park" 96 "park"
"29483" "son" 96 "son"
"31049" "sweet" 96 "sweet"
"32963" "turn" 96 "turn"
"6092" "college" 95 "college"
"21169" "needs" 95 "needs"
"29585" "south" 95 "south"
"34461" "watch" 95 "watch"
"2730" "beautiful" 94 "beautiful"
"8940" "district" 94 "district"
"21162" "needed" 94 "needed"
"23947" "played" 94 "played"
"29473" "sometimes" 94 "sometimes"
"33424" "university" 94 "university"
"35090" "within" 94 "within"
"996" "although" 93 "although"
"1537" "april" 93 "april"
"20242" "miss" 93 "miss"
"20676" "move" 93 "move"
"30427" "street" 93 "street"
"30759" "summer" 93 "summer"
"374" "added" 92 "added"
"2243" "baby" 92 "baby"
"7873" "deal" 92 "deal"
"31885" "thinking" 92 "thinking"
"35537" "yearold" 92 "yearold"
"1109" "among" 91 "among"
"11593" "fire" 91 "fire"
"15326" "idea" 91 "idea"
"18192" "likely" 91 "likely"
"35339" "wrong" 91 "wrong"
"2574" "based" 90 "based"
"3590" "books" 90 "books"
"5291" "check" 90 "check"
"7938" "decided" 90 "decided"
"9893" "either" 90 "either"
"12746" "gave" 90 "gave"
"15000" "hot" 90 "hot"
"35130" "woman" 90 "woman"
"35151" "wont" 90 "wont"
"11519" "film" 89 "film"
"12093" "former" 89 "former"
"22357" "order" 89 "order"
"29359" "social" 89 "social"
"4203" "building" 88 "building"
"5415" "child" 88 "child"
"10259" "enjoy" 88 "enjoy"
"13943" "hand" 88 "hand"
"18956" "major" 88 "major"
